id,activity_hour,step_total,total_intensity,average_intensity,calories,hour,day_of_week,time_of_day
1503960366,2016-03-12T00:00:00Z,0,0,0,48,0,Sat,Night
1503960366,2016-03-12T01:00:00Z,0,0,0,48,1,Sat,Night
1503960366,2016-03-12T02:00:00Z,0,0,0,48,2,Sat,Night
1503960366,2016-03-12T03:00:00Z,0,0,0,48,3,Sat,Night
1503960366,2016-03-12T04:00:00Z,0,0,0,48,4,Sat,Night
1503960366,2016-03-12T05:00:00Z,0,0,0,48,5,Sat,Night
1503960366,2016-03-12T06:00:00Z,0,0,0,48,6,Sat,Morning
1503960366,2016-03-12T07:00:00Z,0,0,0,48,7,Sat,Morning
1503960366,2016-03-12T08:00:00Z,0,0,0,48,8,Sat,Morning
1503960366,2016-03-12T09:00:00Z,8,1,0.016667,49,9,Sat,Morning
1503960366,2016-03-12T10:00:00Z,551,26,0.433333,89,10,Sat,Morning
1503960366,2016-03-12T11:00:00Z,1764,49,0.816667,134,11,Sat,Morning
1503960366,2016-03-12T12:00:00Z,1259,47,0.783333,130,12,Sat,Afternoon
1503960366,2016-03-12T13:00:00Z,253,20,0.333333,81,13,Sat,Afternoon
1503960366,2016-03-12T14:00:00Z,4470,121,2.016667,254,14,Sat,Afternoon
1503960366,2016-03-12T15:00:00Z,4919,129,2.15,271,15,Sat,Afternoon
1503960366,2016-03-12T16:00:00Z,1905,42,0.7,141,16,Sat,Afternoon
1503960366,2016-03-12T17:00:00Z,1038,20,0.333333,104,17,Sat,Afternoon
1503960366,2016-03-12T18:00:00Z,14,2,0.033333,54,18,Sat,Evening
1503960366,2016-03-12T19:00:00Z,606,30,0.5,97,19,Sat,Evening
1503960366,2016-03-12T20:00:00Z,56,4,0.066667,58,20,Sat,Evening
1503960366,2016-03-12T21:00:00Z,782,29,0.483333,100,21,Sat,Evening
1503960366,2016-03-12T22:00:00Z,1132,41,0.683333,123,22,Sat,Night
1503960366,2016-03-12T23:00:00Z,918,35,0.583333,111,23,Sat,Night
1503960366,2016-03-13T00:00:00Z,39,3,0.05,55,0,Sun,Night
1503960366,2016-03-13T01:00:00Z,0,0,0,48,1,Sun,Night
1503960366,2016-03-13T02:00:00Z,27,1,0.016667,50,2,Sun,Night
1503960366,2016-03-13T03:00:00Z,0,0,0,48,3,Sun,Night
1503960366,2016-03-13T04:00:00Z,0,0,0,48,4,Sun,Night
1503960366,2016-03-13T05:00:00Z,0,0,0,48,5,Sun,Night
1503960366,2016-03-13T06:00:00Z,0,0,0,48,6,Sun,Morning
1503960366,2016-03-13T07:00:00Z,0,0,0,49,7,Sun,Morning
1503960366,2016-03-13T08:00:00Z,6,1,0.016667,49,8,Sun,Morning
1503960366,2016-03-13T09:00:00Z,73,5,0.083333,56,9,Sun,Morning
1503960366,2016-03-13T10:00:00Z,2850,85,1.416667,189,10,Sun,Morning
1503960366,2016-03-13T11:00:00Z,4854,130,2.166667,270,11,Sun,Morning
1503960366,2016-03-13T12:00:00Z,24,3,0.05,52,12,Sun,Afternoon
1503960366,2016-03-13T13:00:00Z,118,9,0.15,66,13,Sun,Afternoon
1503960366,2016-03-13T14:00:00Z,19,3,0.05,57,14,Sun,Afternoon
1503960366,2016-03-13T15:00:00Z,510,23,0.383333,89,15,Sun,Afternoon
1503960366,2016-03-13T16:00:00Z,510,25,0.416667,91,16,Sun,Afternoon
1503960366,2016-03-13T17:00:00Z,96,5,0.083333,61,17,Sun,Afternoon
1503960366,2016-03-13T18:00:00Z,4100,110,1.833333,237,18,Sun,Evening
1503960366,2016-03-13T19:00:00Z,1756,57,0.95,146,19,Sun,Evening
1503960366,2016-03-13T20:00:00Z,477,25,0.416667,87,20,Sun,Evening
1503960366,2016-03-13T21:00:00Z,147,9,0.15,66,21,Sun,Evening
1503960366,2016-03-13T22:00:00Z,214,17,0.283333,72,22,Sun,Night
1503960366,2016-03-13T23:00:00Z,1286,46,0.766667,118,23,Sun,Night
1503960366,2016-03-14T00:00:00Z,54,4,0.066667,56,0,Mon,Night
1503960366,2016-03-14T01:00:00Z,53,3,0.05,54,1,Mon,Night
1503960366,2016-03-14T02:00:00Z,0,0,0,49,2,Mon,Night
1503960366,2016-03-14T03:00:00Z,0,0,0,48,3,Mon,Night
1503960366,2016-03-14T04:00:00Z,0,0,0,48,4,Mon,Night
1503960366,2016-03-14T05:00:00Z,0,0,0,49,5,Mon,Night
1503960366,2016-03-14T06:00:00Z,0,0,0,48,6,Mon,Morning
1503960366,2016-03-14T07:00:00Z,53,3,0.05,53,7,Mon,Morning
1503960366,2016-03-14T08:00:00Z,212,14,0.233333,68,8,Mon,Morning
1503960366,2016-03-14T09:00:00Z,2832,61,1.016667,199,9,Mon,Morning
1503960366,2016-03-14T10:00:00Z,43,4,0.066667,59,10,Mon,Morning
1503960366,2016-03-14T11:00:00Z,220,14,0.233333,72,11,Mon,Morning
1503960366,2016-03-14T12:00:00Z,181,9,0.15,66,12,Mon,Afternoon
1503960366,2016-03-14T13:00:00Z,12,1,0.016667,54,13,Mon,Afternoon
1503960366,2016-03-14T14:00:00Z,44,6,0.1,59,14,Mon,Afternoon
1503960366,2016-03-14T15:00:00Z,205,13,0.216667,71,15,Mon,Afternoon
1503960366,2016-03-14T16:00:00Z,152,11,0.183333,68,16,Mon,Afternoon
1503960366,2016-03-14T17:00:00Z,226,17,0.283333,76,17,Mon,Afternoon
