id,activity_hour,total_intensity,average_intensity
1503960366,2016-03-12T00:00:00Z,0,0
1503960366,2016-03-12T01:00:00Z,0,0
1503960366,2016-03-12T02:00:00Z,0,0
1503960366,2016-03-12T03:00:00Z,0,0
1503960366,2016-03-12T04:00:00Z,0,0
1503960366,2016-03-12T05:00:00Z,0,0
1503960366,2016-03-12T06:00:00Z,0,0
1503960366,2016-03-12T07:00:00Z,0,0
1503960366,2016-03-12T08:00:00Z,0,0
1503960366,2016-03-12T09:00:00Z,1,0.016667
1503960366,2016-03-12T10:00:00Z,26,0.433333
1503960366,2016-03-12T11:00:00Z,49,0.816667
1503960366,2016-03-12T12:00:00Z,47,0.783333
1503960366,2016-03-12T13:00:00Z,20,0.333333
1503960366,2016-03-12T14:00:00Z,121,2.016667
1503960366,2016-03-12T15:00:00Z,129,2.15
1503960366,2016-03-12T16:00:00Z,42,0.7
1503960366,2016-03-12T17:00:00Z,20,0.333333
1503960366,2016-03-12T18:00:00Z,2,0.033333
1503960366,2016-03-12T19:00:00Z,30,0.5
1503960366,2016-03-12T20:00:00Z,4,0.066667
1503960366,2016-03-12T21:00:00Z,29,0.483333
1503960366,2016-03-12T22:00:00Z,41,0.683333
1503960366,2016-03-12T23:00:00Z,35,0.583333
1503960366,2016-03-13T00:00:00Z,3,0.05
1503960366,2016-03-13T01:00:00Z,0,0
1503960366,2016-03-13T02:00:00Z,1,0.016667
1503960366,2016-03-13T03:00:00Z,0,0
1503960366,2016-03-13T04:00:00Z,0,0
1503960366,2016-03-13T05:00:00Z,0,0
1503960366,2016-03-13T06:00:00Z,0,0
1503960366,2016-03-13T07:00:00Z,0,0
1503960366,2016-03-13T08:00:00Z,1,0.016667
1503960366,2016-03-13T09:00:00Z,5,0.083333
1503960366,2016-03-13T10:00:00Z,85,1.416667
1503960366,2016-03-13T11:00:00Z,130,2.166667
1503960366,2016-03-13T12:00:00Z,3,0.05
1503960366,2016-03-13T13:00:00Z,9,0.15
1503960366,2016-03-13T14:00:00Z,3,0.05
1503960366,2016-03-13T15:00:00Z,23,0.383333
1503960366,2016-03-13T16:00:00Z,25,0.416667
1503960366,2016-03-13T17:00:00Z,5,0.083333
1503960366,2016-03-13T18:00:00Z,110,1.833333
1503960366,2016-03-13T19:00:00Z,57,0.95
1503960366,2016-03-13T20:00:00Z,25,0.416667
1503960366,2016-03-13T21:00:00Z,9,0.15
1503960366,2016-03-13T22:00:00Z,17,0.283333
1503960366,2016-03-13T23:00:00Z,46,0.766667
1503960366,2016-03-14T00:00:00Z,4,0.066667
1503960366,2016-03-14T01:00:00Z,3,0.05
1503960366,2016-03-14T02:00:00Z,0,0
1503960366,2016-03-14T03:00:00Z,0,0
1503960366,2016-03-14T04:00:00Z,0,0
1503960366,2016-03-14T05:00:00Z,0,0
1503960366,2016-03-14T06:00:00Z,0,0
1503960366,2016-03-14T07:00:00Z,3,0.05
1503960366,2016-03-14T08:00:00Z,14,0.233333
1503960366,2016-03-14T09:00:00Z,61,1.016667
1503960366,2016-03-14T10:00:00Z,4,0.066667
1503960366,2016-03-14T11:00:00Z,14,0.233333
1503960366,2016-03-14T12:00:00Z,9,0.15
1503960366,2016-03-14T13:00:00Z,1,0.016667
1503960366,2016-03-14T14:00:00Z,6,0.1
1503960366,2016-03-14T15:00:00Z,13,0.216667
1503960366,2016-03-14T16:00:00Z,11,0.183333
1503960366,2016-03-14T17:00:00Z,17,0.283333
1503960366,2016-03-14T18:00:00Z,29,0.483333
1503960366,2016-03-14T19:00:00Z,33,0.55
1503960366,2016-03-14T20:00:00Z,45,0.75
1503960366,2016-03-14T21:00:00Z,12,0.2
1503960366,2016-03-14T22:00:00Z,0,0
1503960366,2016-03-14T23:00:00Z,90,1.5
1503960366,2016-03-15T00:00:00Z,3,0.05
1503960366,2016-03-15T01:00:00Z,2,0.033333
1503960366,2016-03-15T02:00:00Z,4,0.066667
1503960366,2016-03-15T03:00:00Z,0,0
1503960366,2016-03-15T04:00:00Z,1,0.016667
1503960366,2016-03-15T05:00:00Z,0,0
1503960366,2016-03-15T06:00:00Z,1,0.016667
1503960366,2016-03-15T07:00:00Z,1,0.016667
1503960366,2016-03-15T08:00:00Z,28,0.466667
1503960366,2016-03-15T09:00:00Z,49,0.816667
1503960366,2016-03-15T10:00:00Z,17,0.283333
1503960366,2016-03-15T11:00:00Z,34,0.566667
1503960366,2016-03-15T12:00:00Z,49,0.816667
1503960366,2016-03-15T13:00:00Z,16,0.266667
1503960366,2016-03-15T14:00:00Z,26,0.433333
1503960366,2016-03-15T15:00:00Z,14,0.233333
1503960366,2016-03-15T16:00:00Z,27,0.45
1503960366,2016-03-15T17:00:00Z,19,0.316667
1503960366,2016-03-15T18:00:00Z,15,0.25
1503960366,2016-03-15T19:00:00Z,16,0.266667
1503960366,2016-03-15T20:00:00Z,86,1.433333
1503960366,2016-03-15T21:00:00Z,35,0.583333
1503960366,2016-03-15T22:00:00Z,37,0.616667
1503960366,2016-03-15T23:00:00Z,15,0.25
1503960366,2016-03-16T00:00:00Z,0,0
1503960366,2016-03-16T01:00:00Z,0,0
1503960366,2016-03-16T02:00:00Z,1,0.016667
1503960366,2016-03-16T03:00:00Z,0,0
1503960366,2016-03-16T04:00:00Z,0,0
1503960366,2016-03-16T05:00:00Z,0,0
1503960366,2016-03-16T06:00:00Z,0,0
1503960366,2016-03-16T07:00:00Z,6,0.1
1503960366,2016-03-16T08:00:00Z,27,0.45
1503960366,2016-03-16T09:00:00Z,27,0.45
1503960366,2016-03-16T10:00:00Z,12,0.2
1503960366,2016-03-16T11:00:00Z,36,0.6
1503960366,2016-03-16T12:00:00Z,34,0.566667
1503960366,2016-03-16T13:00:00Z,16,0.266667
1503960366,2016-03-16T14:00:00Z,3,0.05
1503960366,2016-03-16T15:00:00Z,19,0.316667
1503960366,2016-03-16T16:00:00Z,28,0.466667
1503960366,2016-03-16T17:00:00Z,43,0.716667
1503960366,2016-03-16T18:00:00Z,74,1.233333
1503960366,2016-03-16T19:00:00Z,7,0.116667
1503960366,2016-03-16T20:00:00Z,16,0.266667
1503960366,2016-03-16T21:00:00Z,49,0.816667
1503960366,2016-03-16T22:00:00Z,18,0.3
1503960366,2016-03-16T23:00:00Z,18,0.3
1503960366,2016-03-17T00:00:00Z,11,0.183333
1503960366,2016-03-17T01:00:00Z,1,0.016667
1503960366,2016-03-17T02:00:00Z,1,0.016667
1503960366,2016-03-17T03:00:00Z,0,0
1503960366,2016-03-17T04:00:00Z,0,0
1503960366,2016-03-17T05:00:00Z,0,0
1503960366,2016-03-17T06:00:00Z,0,0
1503960366,2016-03-17T07:00:00Z,1,0.016667
1503960366,2016-03-17T08:00:00Z,11,0.183333
1503960366,2016-03-17T09:00:00Z,27,0.45
1503960366,2016-03-17T10:00:00Z,11,0.183333
1503960366,2016-03-17T11:00:00Z,54,0.9
1503960366,2016-03-17T12:00:00Z,11,0.183333
1503960366,2016-03-17T13:00:00Z,23,0.383333
1503960366,2016-03-17T14:00:00Z,25,0.416667
1503960366,2016-03-17T15:00:00Z,20,0.333333
1503960366,2016-03-17T16:00:00Z,24,0.4
1503960366,2016-03-17T17:00:00Z,5,0.083333
1503960366,2016-03-17T18:00:00Z,15,0.25
1503960366,2016-03-17T19:00:00Z,64,1.066667
1503960366,2016-03-17T20:00:00Z,16,0.266667
1503960366,2016-03-17T21:00:00Z,49,0.816667
1503960366,2016-03-17T22:00:00Z,31,0.516667
1503960366,2016-03-17T23:00:00Z,35,0.583333
1503960366,2016-03-18T00:00:00Z,13,0.216667
1503960366,2016-03-18T01:00:00Z,6,0.1
1503960366,2016-03-18T02:00:00Z,0,0
1503960366,2016-03-18T03:00:00Z,0,0
1503960366,2016-03-18T04:00:00Z,0,0
1503960366,2016-03-18T05:00:00Z,1,0.016667
1503960366,2016-03-18T06:00:00Z,2,0.033333
1503960366,2016-03-18T07:00:00Z,0,0
1503960366,2016-03-18T08:00:00Z,11,0.183333
1503960366,2016-03-18T09:00:00Z,36,0.6
1503960366,2016-03-18T10:00:00Z,12,0.2
1503960366,2016-03-18T11:00:00Z,12,0.2
1503960366,2016-03-18T12:00:00Z,4,0.066667
1503960366,2016-03-18T13:00:00Z,7,0.116667
1503960366,2016-03-18T14:00:00Z,86,1.433333
1503960366,2016-03-18T15:00:00Z,33,0.55
1503960366,2016-03-18T16:00:00Z,14,0.233333
1503960366,2016-03-18T17:00:00Z,2,0.033333
1503960366,2016-03-18T18:00:00Z,16,0.266667
1503960366,2016-03-18T19:00:00Z,110,1.833333
1503960366,2016-03-18T20:00:00Z,21,0.35
1503960366,2016-03-18T21:00:00Z,14,0.233333
1503960366,2016-03-18T22:00:00Z,2,0.033333
1503960366,2016-03-18T23:00:00Z,12,0.2
1503960366,2016-03-19T00:00:00Z,5,0.083333
1503960366,2016-03-19T01:00:00Z,0,0
1503960366,2016-03-19T02:00:00Z,0,0
1503960366,2016-03-19T03:00:00Z,1,0.016667
1503960366,2016-03-19T04:00:00Z,0,0
1503960366,2016-03-19T05:00:00Z,0,0
1503960366,2016-03-19T06:00:00Z,0,0
1503960366,2016-03-19T07:00:00Z,2,0.033333
1503960366,2016-03-19T08:00:00Z,28,0.466667
1503960366,2016-03-19T09:00:00Z,69,1.15
1503960366,2016-03-19T10:00:00Z,54,0.9
1503960366,2016-03-19T11:00:00Z,37,0.616667
1503960366,2016-03-19T12:00:00Z,27,0.45
1503960366,2016-03-19T13:00:00Z,13,0.216667
1503960366,2016-03-19T14:00:00Z,14,0.233333
1503960366,2016-03-19T15:00:00Z,6,0.1
1503960366,2016-03-19T16:00:00Z,8,0.133333
1503960366,2016-03-19T17:00:00Z,10,0.166667
1503960366,2016-03-19T18:00:00Z,3,0.05
1503960366,2016-03-19T19:00:00Z,26,0.433333
1503960366,2016-03-19T20:00:00Z,22,0.366667
1503960366,2016-03-19T21:00:00Z,6,0.1
1503960366,2016-03-19T22:00:00Z,31,0.516667
1503960366,2016-03-19T23:00:00Z,111,1.85
1503960366,2016-03-20T00:00:00Z,7,0.116667
1503960366,2016-03-20T01:00:00Z,0,0
1503960366,2016-03-20T02:00:00Z,0,0
1503960366,2016-03-20T03:00:00Z,0,0
1503960366,2016-03-20T04:00:00Z,0,0
1503960366,2016-03-20T05:00:00Z,0,0
1503960366,2016-03-20T06:00:00Z,0,0
1503960366,2016-03-20T07:00:00Z,0,0
1503960366,2016-03-20T08:00:00Z,0,0
1503960366,2016-03-20T09:00:00Z,36,0.6
1503960366,2016-03-20T10:00:00Z,113,1.883333
1503960366,2016-03-20T11:00:00Z,42,0.7
1503960366,2016-03-20T12:00:00Z,20,0.333333
1503960366,2016-03-20T13:00:00Z,18,0.3
