hour,avg_steps,median_steps
0,44.42115572967679,0
1,20.484818805093045,0
2,10.588638589618022,0
3,7.31207065750736,0
4,9.75540275049116,0
5,26.11307767944936,0
6,120.16437007874016,0
7,267.120315581854,0
8,365.59643916913944,26
9,430.25841584158417,94.5
10,437.004995004995,134
11,452.74523570712137,186
12,520.9447791164658,221
13,457.88253012048193,202.5
14,474.12449799196787,148.5
15,390.4693467336683,173
16,447.36683417085425,202
17,453.6639839034205,217
18,505.6465256797583,238
19,528.8781470292045,198
20,399.3178607467205,144
21,261.0090817356206,54
22,172.9838383838384,17.5
23,102.90182186234817,0
