id,sleep_start,number_naps,total_minutes_napping
1503960366,2016-03-13,1,425
1503960366,2016-03-14,1,383
1503960366,2016-03-15,1,325
1503960366,2016-03-16,2,363
1503960366,2016-03-17,1,432
1503960366,2016-03-18,1,409
1503960366,2016-03-19,1,463
1503960366,2016-03-20,1,473
1503960366,2016-03-21,1,425
1503960366,2016-03-23,1,296
1503960366,2016-03-24,1,336
1503960366,2016-03-25,1,385
1503960366,2016-03-26,1,455
1503960366,2016-03-27,2,457
1503960366,2016-03-28,1,72
1503960366,2016-03-29,1,376
1503960366,2016-03-31,1,335
1503960366,2016-04-01,1,304
1503960366,2016-04-02,1,508
1503960366,2016-04-03,1,422
1503960366,2016-04-04,1,317
1503960366,2016-04-05,1,307
1503960366,2016-04-09,1,405
1503960366,2016-04-10,1,470
1503960366,2016-04-11,1,326
1927972279,2016-03-12,1,60
1927972279,2016-03-13,1,168
1927972279,2016-03-14,1,110
1927972279,2016-03-15,1,67
1927972279,2016-03-16,3,631
1927972279,2016-03-18,1,364
1927972279,2016-03-19,1,182
1927972279,2016-03-20,1,248
1927972279,2016-03-22,1,392
1927972279,2016-03-23,1,385
1927972279,2016-03-24,1,303
1927972279,2016-03-25,1,62
1927972279,2016-03-26,1,403
1927972279,2016-03-29,2,575
1927972279,2016-03-30,2,402
1927972279,2016-03-31,2,493
1927972279,2016-04-02,1,309
1927972279,2016-04-04,1,184
1927972279,2016-04-05,1,409
1927972279,2016-04-06,1,427
1927972279,2016-04-10,1,303
1927972279,2016-04-12,1,123
2022484408,2016-03-13,1,142
2026352035,2016-03-15,1,110
2347167796,2016-03-16,1,395
2347167796,2016-03-18,1,402
2347167796,2016-04-02,1,442
3977333714,2016-03-13,1,463
3977333714,2016-03-14,1,387
3977333714,2016-04-01,1,410
3977333714,2016-04-02,1,272
3977333714,2016-04-03,1,300
3977333714,2016-04-04,1,329
3977333714,2016-04-05,1,454
3977333714,2016-04-06,1,399
3977333714,2016-04-07,1,345
3977333714,2016-04-08,1,469
3977333714,2016-04-09,1,399
3977333714,2016-04-10,1,450
3977333714,2016-04-11,1,395
4020332650,2016-03-12,1,360
4020332650,2016-03-13,1,319
4020332650,2016-03-14,1,283
4020332650,2016-03-15,1,334
4020332650,2016-03-16,1,488
4020332650,2016-03-17,1,406
4020332650,2016-03-30,2,374
4020332650,2016-03-31,1,267
4020332650,2016-04-01,2,412
4020332650,2016-04-02,1,185
4020332650,2016-04-03,2,393
4020332650,2016-04-04,1,473
4020332650,2016-04-06,1,247
4020332650,2016-04-11,1,220
4319703577,2016-03-27,1,540
4319703577,2016-03-29,1,96
4319703577,2016-04-01,1,93
4319703577,2016-04-06,1,245
4445114986,2016-03-12,2,368
4445114986,2016-03-13,1,349
4445114986,2016-03-15,2,548
4445114986,2016-03-16,3,410
4445114986,2016-03-17,1,226
4445114986,2016-03-19,1,147
4445114986,2016-03-20,2,550
4445114986,2016-03-21,1,205
4445114986,2016-03-22,2,352
4445114986,2016-03-24,2,400
4445114986,2016-03-25,2,335
4445114986,2016-03-26,1,164
4445114986,2016-03-27,1,324
4445114986,2016-03-28,2,369
4445114986,2016-03-29,2,462
4445114986,2016-03-31,2,408
4445114986,2016-04-01,1,333
4445114986,2016-04-02,1,491
4445114986,2016-04-05,1,495
4445114986,2016-04-06,1,449
4445114986,2016-04-07,1,267
4445114986,2016-04-08,2,229
4445114986,2016-04-09,3,436
4445114986,2016-04-10,2,366
4445114986,2016-04-11,2,424
4445114986,2016-04-12,1,331
4558609924,2016-03-30,1,81
4702921684,2016-03-27,2,420
4702921684,2016-04-09,1,432
4702921684,2016-04-10,1,120
4702921684,2016-04-11,1,228
5553957443,2016-03-12,3,754
5553957443,2016-03-13,2,688
5553957443,2016-03-17,2,331
5553957443,2016-03-18,1,114
5553957443,2016-03-21,1,153
5553957443,2016-03-22,1,574
5553957443,2016-03-23,1,284
5553957443,2016-03-24,1,417
5553957443,2016-03-25,1,674
5553957443,2016-03-26,3,371
5553957443,2016-03-27,3,731
5553957443,2016-03-30,1,300
5553957443,2016-04-02,2,894
5553957443,2016-04-03,1,745
5553957443,2016-04-09,2,681
5553957443,2016-04-10,1,618
5577150313,2016-03-12,1,116
5577150313,2016-03-15,1,70
5577150313,2016-03-16,1,104
5577150313,2016-03-19,1,298
5577150313,2016-03-20,1,131
5577150313,2016-03-23,1,100
