hour,day_type,avg_steps,median_steps
0,Weekday,40.650499286733236,0
0,Weekend,52.68125,0
1,Weekday,17.439372325249643,0
1,Weekend,27.15625,0
2,Weekday,10.2339514978602,0
2,Weekend,11.365625,0
3,Weekday,6.535714285714286,0
3,Weekend,9.015673981191222,0
4,Weekday,11.842857142857143,0
4,Weekend,5.160377358490566,0
5,Weekday,31.011444921316166,0
5,Weekend,15.345911949685535,0
6,Weekday,142.1676217765043,0
6,Weekend,71.86792452830188,0
7,Weekday,303.10632183908046,6
7,Weekend,188.35849056603774,0
8,Weekday,406.45021645021643,68
8,Weekend,276.5660377358491,0
9,Weekday,450.2543352601156,102
9,Weekend,386.74528301886795,77.5
10,Weekday,425.2865497076023,131.5
10,Weekend,462.2902208201893,147
11,Weekday,429.9323529411765,180.5
11,Weekend,501.6813880126183,215
12,Weekday,524.9307805596466,223
12,Weekend,512.4069400630915,207
13,Weekday,449.5758468335788,193
13,Weekend,475.67507886435334,226
14,Weekday,428.5758468335788,140
14,Weekend,571.6876971608833,175
15,Weekday,328.41237113402065,152
15,Weekend,523.8132911392405,224.5
16,Weekday,391.4315169366716,195
16,Weekend,567.5569620253165,227
17,Weekday,454.7893961708395,221
17,Weekend,451.23809523809524,214
18,Weekday,556.2625368731564,276
18,Weekend,396.7015873015873,160
19,Weekday,574.693215339233,210
19,Weekend,430.26666666666665,176
20,Weekday,409.6834319526627,162
20,Weekend,377.0730158730159,110
21,Weekday,270.2085798816568,54.5
21,Weekend,241.26666666666668,49
22,Weekday,170.2548148148148,18
22,Weekend,178.83174603174604,15
23,Weekday,90.78783382789318,0
23,Weekend,128.9044585987261,0
